open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,tkbbav,tkqav,ign.
1542153600000,0.03248,0.032523,0.030033,0.031677,322149.201,1542239999999,10154.91377982,247384,158471.208,4994.96006496,0
1542240000000,0.031679,0.032332,0.031267,0.032026,260594.911,1542326399999,8281.21387368,202581,134296.336,4268.9595754,0
1542326400000,0.032026,0.032197,0.0312,0.031294,160277.516,1542412799999,5085.73143663,129343,83518.578,2650.39178671,0
1542412800000,0.031302,0.031601,0.0311,0.031310000000000004,134241.033,1542499199999,4210.92776364,103006,74537.359,2338.48124951,0
1542499200000,0.031310000000000004,0.03194,0.03126,0.0316,120896.796,1542585599999,3805.33607159,91910,66802.339,2102.45603268,0
1542585600000,0.0316,0.031642,0.02904,0.030636,411823.98,1542671999999,12433.17162529,251667,205323.965,6198.42866694,0
1542672000000,0.030647000000000008,0.030946,0.02875,0.029316,712970.833,1542758399999,21299.68378136,384100,368127.602,10990.4523964,0
1542758400000,0.029319,0.03015,0.028761,0.029671,353292.9470000001,1542844799999,10440.27667095,222726,185088.091,5473.11757854,0
1542844800000,0.029653,0.029912,0.028894,0.02895,193061.678,1542931199999,5677.58002521,120404,96626.047,2840.97015349,0
1542931200000,0.028942,0.029199,0.027974,0.028291000000000007,244056.77,1543017599999,6949.26092459,149641,126735.267,3608.93693841,0
1543017600000,0.028295,0.029376,0.028104,0.029216,270075.505,1543103999999,7735.08242899,146508,139719.001,4002.24445068,0
1543104000000,0.029215,0.029486,0.027855,0.029038,404295.70700000005,1543190399999,11606.69058264,224048,213333.746,6129.91087881,0
1543190400000,0.029037,0.0292,0.028283,0.028671,320271.264,1543276799999,9194.32470317,202914,174748.50600000002,5017.43498103,0
1543276800000,0.02866,0.029088,0.027765,0.028761,277443.68,1543363199999,7852.03914965,175885,142932.637,4047.78189835,0
1543363200000,0.028746,0.029098,0.02791,0.028808,295828.579,1543449599999,8421.59299056,209033,150602.99800000002,4290.01294211,0
1543449600000,0.0288,0.028912,0.027371,0.027461000000000003,274767.411,1543535999999,7671.8307256,210369,136128.661,3800.9058392,0
1543536000000,0.027464,0.028542,0.0273,0.028158,232763.908,1543622399999,6519.42611444,183338,119754.184,3355.53274186,0
1543622400000,0.028156,0.028834,0.027818,0.02818,167738.64,1543708799999,4725.08327595,148676,81927.359,2308.79385756,0
1543708800000,0.028178,0.028341,0.027877,0.028026,147257.616,1543795199999,4136.64759067,116467,67899.858,1908.30507471,0
1543795200000,0.028026,0.028449,0.0277,0.027983,174282.30899999998,1543881599999,4890.12233344,128800,92342.175,2592.13892227,0
1543881600000,0.027989,0.028113,0.0277,0.027809,183794.325,1543967999999,5131.77184485,136544,89616.998,2502.55767083,0
1543968000000,0.027813,0.027896,0.027203,0.027266,187578.403,1544054399999,5179.79069516,136056,99189.882,2740.16061775,0
1544054400000,0.027272,0.027338,0.025543,0.025976,347300.30100000004,1544140799999,9212.12810126,207227,184213.068,4890.57882959,0
1544140800000,0.025948,0.027784,0.024630000000000003,0.027341000000000004,530450.634,1544227199999,13718.04902936,307838,279583.362,7230.87118431,0
1544227200000,0.027341000000000004,0.028134,0.025501,0.026494,332746.829,1544313599999,8866.51428358,220045,165976.93099999998,4420.87142431,0
1544313600000,0.026484,0.027000000000000003,0.026085,0.0263,211489.681,1544399999999,5619.72705131,140797,102962.643,2735.89479892,0
1544400000000,0.026307,0.02645,0.025794,0.026179,174339.845,1544486399999,4551.44202977,105211,97864.847,2555.64233029,0
1544486400000,0.026176,0.026534,0.025157,0.025962,170092.13199999998,1544572799999,4425.40333708,110306,88369.30699999999,2300.70555436,0
